video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
IJtOFyXxRpU,17.14.11,"베이블레이드 버스트 갓 16화 예고편, 슈를 찾아라! [BEYBLADE BURST GOD TRAILER]",BEYBLADE BURST KOREA,1,2017-11-13T05:53:24.000Z,"만화영화|""로봇""|""변신만화""|""액션""|""어드벤처""|""korean animation""|""robot animation""|""action""|""adventure""|""anime""|""영실업""|""바이클론즈""|""또봇""|""youngtoys""|""biklonz""|""tobot""|""폴리""|""타요""|""뽀로로""|""라바""|""poli""|""pororo""|""larva""|""일본 만화""|""일본 애니메이션""|""베이블레이드""|""팽이""|""베이블레이드 버스트""|""탑 블레이드""|""팽이 배틀""|""배틀 만화""|""베이블레이드 버스트 만화""|""강산""|""호락""|""장난감 놀이""|""남자 장난감""|""베이블레이드 배틀 세트""|""발키리""|""beyblade burst""|""beyblade""|""beyblade toys""|""toy""|""캐리""|""라그나로크""|""이그드라실""|""엑스칼리버""|""질리언 제우스""|""언락 유니콘""|""캐릭온""|""롱기누스""|""듀얼 스핀 스태디움""|""베이블레이드 경기장""|""베이 스페셜""|""베이블레이드 시즌2""|""갓발키리""|""요르문간드""|""아누비스""|""크라이스 사탄""|""블레이즈 라그나로크""|""파브닐""|""알타크로노스""|""킬러 데스사이저""|""맥시멈 가루다""|""랜덤 부스터""",18055,110,2,89,https://i.ytimg.com/vi/IJtOFyXxRpU/default.jpg,FALSE,FALSE,FALSE,"[BEYBLADE BURST KOREA] 채널 구독하기! \n▶ https://goo.gl/IIJ9bl\n베이블레이드 버스트 갓 16화 예고편, 슈를 찾아라! [BEYBLADE BURST GOD TRAILER]\n\n* 베이블레이드 버스트 갓 예고편 보러가기\n▶ https://goo.gl/uWeKtg\n\n* 베이블레이드 버스트 갓 하이라이트 보러가기\n▶ https://goo.gl/sn1URJ\n\n* 베이블레이드 버스트 TVC 보러가기\n▶ https://goo.gl/jEH7zO\n\n[BEYBLADE BURST KOREA]의 영상을 재밌게 보셨다면~\n▶구독 & 좋아요 & 댓글를 부탁해요~♥\n▶무료구독 바로가기 https://goo.gl/IIJ9bl\n▶베이블레이드 버스트 많이 사랑해주세요!\n\n--------------------------------------------------------------\n• 영실업 홈페이지\nhttp://www.youngtoys.co.kr\n\n• 영실업 공식 블로그\nhttp://blog.naver.com/media_yt\n\n• 베이블레이드 버스트 코리아 홈페이지 \nhttps://www.beybladeburst.co.kr/\n\n• 베이블레이드 버스트 코리아 공식 블로그 \nhttp://blog.naver.com/beybladeburst\n\n• 베이블레이드 버스트를 즐기기 위한 필수어플! 베이블레이드 버스트 전용 앱 다운로드\nhttps://www.beybladeburst.co.kr/notice/notice_view?id=95"
GiuQ33p-jEU,17.14.11,머리에 우주를 품은 혜서니 ..♥ [feat. 기우쌤] ♥혜서니♥,혜서니,22,2017-11-13T10:00:00.000Z,"혜서니|""일상""|""뷰티""|""라이프""|""스타일""|""Life""|""Style""|""Bueaty""|""People""|""생활""|""Live""|""혜선""|""박혜선""|""리빙""|""Vlog""|""포토샵""|""혜선이""",263044,3865,238,940,https://i.ytimg.com/vi/GiuQ33p-jEU/default.jpg,FALSE,FALSE,FALSE,♥혜서니♥의 일상 채널입니다.\n♥구독을 눌러주시면 혜서니의 일상을 항상 받아보실 수 있어요!♥\n\n혜서니의 다른 영상 보기 ::\nwww.youtube.com/user/Mr19940711/videos\n\n혜서니 페이스북 ::\nwww.facebook.com/hyesunee\n\n혜서니의 인스타그램 ::\nwww.instagram.com/hyesunee
P9KQOvLRVNQ,17.14.11,"박지원의 이명박 기자회견 극딜!! 안초딩, 바른정당 자꾸 기웃거리면 나 민주당 간다 꿀렁꿀렁 하지마!",뉴스 당장,25,2017-11-13T01:22:04.000Z,"박지원|""이명박""|""기자회견""|""안초딩""|""바른정당""|""민주당""|""꿀렁꿀렁""",59759,371,45,125,https://i.ytimg.com/vi/P9KQOvLRVNQ/default.jpg,FALSE,FALSE,FALSE,
sZqZgEEB5SI,17.14.11,"송종국이 전부인에게 저지른 충격적인 일들... 결국 김민희 홍상수에 분노한 전부인의 멘탈,  가장 불쌍한 건 아이들?",TV 활력소,24,2017-11-11T11:27:36.000Z,"송종국|""박잎선""|""송지욱""|""송지아""|""송종국 바람""|""송종국 딸""|""송종국 아들""|""송종국 지아""|""송종국 이혼""|""송종국 부인""|""송종국 축구""|""송종국 여자""|""송종국 아빠 어디가""",413871,408,243,424,https://i.ytimg.com/vi/sZqZgEEB5SI/default.jpg,FALSE,FALSE,FALSE,"송종국, 불륜설의 실체"
uJTDJJ3BgMQ,17.14.11,[원피스 813화 4편] 최초로 밝혀지는 푸딩의 진짜 속마음.. ㅠㅠ,쵸파TV - 종합 채널,1,2017-11-12T05:11:11.000Z,"원피스|""763화""|""764화""|""765화""|""허팝""|""철구""|""턱형""|""보겸""|""악어""|""도티""|""대도서관""|""나루토""|""블리치""|""애니""|""루피""|""심킹""|""명장면""|""레전드""|""직캠""|""양띵""|""onepiece""|""글로벌""|""extreme""|""sports""|""조로""|""상디""|""검은수염""|""티치""|""파인애플""|""ASMR""|""마인크래프트""|""마크""|""마인크레프트""|""pewdiepie""|""영상""|""달인""|""장인""|""롤""|""오버워치""|""BJ""|""lol""|""서든""|""박근혜""|""탄핵""|""오프닝""|""소름""|""세계""|""제일""|""화""|""티비플""|""고수""|""롤드컵""|""SKT""|""극장판""|""세야""|""프로""|""밴쯔""|""대정령""|""역대""|""로이조""|""코트""|""윰댕""|""풍월량""",338582,716,48,558,https://i.ytimg.com/vi/uJTDJJ3BgMQ/default.jpg,FALSE,FALSE,FALSE,푸딩의 진심이 최초로 밝혀집니다.
Shxu7Iyl9ds,17.14.11,조갑제TV/집무실에 김정일 사진을 걸어 두었던  김관진 장관,조갑제TV,25,2017-11-12T19:07:13.000Z,[none],42606,1999,47,293,https://i.ytimg.com/vi/Shxu7Iyl9ds/default.jpg,FALSE,FALSE,FALSE,
jRItDl-NstA,17.14.11,시진핑 지 숙소로 문대통령 불러 또 사드 훈계? 중국에 장사하려 민족자존심 파는가? [세밀한안보] (2017.11.13) 1부,o 황장수의 뉴스브리핑,25,2017-11-13T04:27:55.000Z,"황장수|""뉴스브리핑""|""시진핑""|""사드""|""중국""",44248,1889,30,298,https://i.ytimg.com/vi/jRItDl-NstA/default.jpg,FALSE,FALSE,FALSE,시진핑 지 숙소로 문대통령 불러 또 사드 훈계? 중국에 장사하려 민족자존심 파는가? [세밀한안보] (2017.11.13) 1부\n\n미래경영연구소회원모집 안내 (02-2671-7803)http://blog.naver.com/pjbjp24/220663123970
FT0jBSkCqjQ,17.14.11,[겁 없는 녀석들] 한반도 최고 허세남의 최후는?,ROAD FIGHTING CHAMPIONSHIP,17,2017-11-11T16:39:52.000Z,[none],204935,197,87,243,https://i.ytimg.com/vi/FT0jBSkCqjQ/default.jpg,FALSE,FALSE,FALSE,[겁 없는 녀석들] 한반도 최고 허세남의 최후는?
txg6RnfzM38,17.14.11,[칵션] 멜론음악 실시간 차트 11월 2주차 TOP30,칵션,10,2017-11-11T17:48:18.000Z,"칵션|""멜론""|""음악""|""방송""|""실시간""|""차트""|""최신가요""|""인기가요""|""TOP""|""BJ""|""베스트비제이""|""30""|""50""|""100""|""11월""|""2주""|""신곡""|""트와이스""|""멜로망스""|""업데이트""|""업로드""|""노래""|""뮤직""|""발라드""|""힙합""|""락""|""아프리카TV""",149601,454,75,87,https://i.ytimg.com/vi/txg6RnfzM38/default.jpg,FALSE,FALSE,FALSE,[칵션] 멜론음악 실시간 차트 11월 2주차 TOP30\n[아프리카TV] http://afreecatv.com/asozico\n매일 신곡 업데이트 24시간 방송 \n# 실시간 방송중 #
m3AxIeQ3StA,17.14.11,IMF총재 관심 독점한 문재인..아베총리 여사님께 친한척 현장,김초운,25,2017-11-11T14:28:29.000Z,[none],217077,2909,320,534,https://i.ytimg.com/vi/m3AxIeQ3StA/default.jpg,FALSE,FALSE,FALSE,많은 분들이 볼수있게 좋아요 구독 부탁합니다. APEC 정상중 가장 바쁜 시간 보내는 우리 대통령님 내외분 소식 전합니다. 건강 잘 챙기세요 APEC 정상회의 에서도 문대통령님 내외분 존재감 돋보였는데요..\n\n*영상 자료=청와대 페북 및 SNS 감사합니다.
GcQ5HUKUaTA,17.14.11,[박정희 대통령 동상 기증식] 좌빨 놈들 잡으러 상암동 박정희 대통령 기념관으로 출동!,애국채널 snsTV,24,2017-11-13T03:11:01.000Z,[none],28141,2006,107,179,https://i.ytimg.com/vi/GcQ5HUKUaTA/default.jpg,FALSE,FALSE,FALSE,
6ZXFbgEVg1o,17.14.11,이명박 정신 못차렸다! 박지원 역대급 돌직구 터졌다! 개선장군 올림픽 나가냐! 출국 발언 완벽히 발라버렸다,매직텔러,25,2017-11-13T02:40:26.000Z,"박지원|""정치9단""|""이낙연""|""문재인""|""문재인 대통령""|""개선장군""|""올림픽""|""평창 동계올림픽""|""정말 최고다""|""초딩""|""안초딩""|""국민의당""|""바른정당""|""통합""|""통합론""|""유승민""|""하태경""|""김무성""|""자유한국당""|""송영무""|""이찬열""|""홍준표""",62856,402,57,95,https://i.ytimg.com/vi/6ZXFbgEVg1o/default.jpg,FALSE,FALSE,FALSE,박지원 역시 최고입니다. 정치9단은 괜히 얻은 타이틀이 아닙니다. MB의 출국 발언을 완벽하게 해체해버립니다.\n출처 : 전영신 아침저널
YL211gvSyFM,17.14.11,(몰카)  전여친이 내앞에 나타난다면?! ㅋㅋㅋㅋㅋ,더블비,22,2017-11-12T09:14:54.000Z,"전여친|""더블비""|""몰카""|""내앞에""|""나타난다면""|""장명준""|""박민규""|""대치동 시발아줌마""|""공항도둑""|""범죄도시""|""장첸""|""페북스타""|""유머""|""페이지""|""패러디""",260596,2871,171,693,https://i.ytimg.com/vi/YL211gvSyFM/default.jpg,FALSE,FALSE,FALSE,유튜브 구독하기 좋아요 부탁드립니다~\n페이스북 페이지 더블비 좋아요 팔로워 부탁드립니다~
#NAME?,17.14.11,"신의한수 생방송 11월 13일 / MB, 노무현 비리와 바다이야기로 문재인 박살 낸다!",신의한수,25,2017-11-13T09:30:56.000Z,[none],32098,1427,127,201,https://i.ytimg.com/vi/-G0rp0wTOFM/default.jpg,FALSE,FALSE,FALSE,"(주)민초 커뮤니케이션 대표 신혜식입니다. 자발적 구독료는 정기 납부가 가능합니다. 애국 시민의 소중한 구독료는 애국 방송 사업에 쓰입니다. 아래 인터넷 주소로 들어가셔서 정기 유료 회원으로 가입해주시면 감사하겠습니다. \n \nhttp://www.ihappynanum.com/Nanum/B/3JO90YUSOZ\n\n(참고) 계좌 이체와 신용카드, 휴대폰 결제가 가능합니다. \n            앞으로 더욱 더 좋은 애국 방송으로 보답해드리겠습니다."
fz7whSExAk4,17.14.11,용큐놀이 해보았다! 이용규보다 파울 많이치기 도전!!,썩코치의 야구쑈,17,2017-11-13T10:00:02.000Z,"썩코치|""썩코치의야구쑈""|""야구쑈""|""야구""|""야구코치""|""프로야구""|""동네야구""|""사회인야구""|""야구선수""|""야구장""|""야구경기""|""야구하이라이트""|""야구게임""|""야구레슨""|""야구연습""|""야구동아리""|""야구팀""|""야구리그""|""동아리야구""|""야구생활""|""생활체육""|""야구라이프""|""야구야""|""야구맨""|""대학야구""|""고등야구""|""야구인""|""야구광""|""야구장비""|""글러브""|""배트""",30406,368,12,599,https://i.ytimg.com/vi/fz7whSExAk4/default.jpg,FALSE,FALSE,FALSE,"이용규 선수보다 파울 많이치는게 가능?!?\n끈질기게 투수와 승부하는 이용규 선수의 트레이드 마크! 용큐놀이를 썩코치가 도전해 보았어요! 과연 성공 했을까요?!?\n\n'썩코치가 간다!'에 참여하고 싶은 야구팀은 댓글로 신청해주세요!\n지역/팀명/대표자이름과 이메일주소/간단한 팀소개를 남기면 신청됩니다!\n\n야구에 대한 모든 것, 썩코치의 야구쑈!\n동네야구, 사회인야구, 동아리야구부터 고등학교,대학교 엘리트야구와 프로야구까지!\n대학 야구선출 썩코치와 일반인 야구광 양프로의 재미있는 야구 이야기!\n썩코치에 대해 더 많은 소식을 알고 싶으신가요?\n'썩코치의 야구쑈' YouTube 채널\nhttps://www.youtube.com/channel/UCTXfm-TklNz00whIil7pJog\n썩코치의 '야구동아리' facebook 페이지\nhttps://www.facebook.com/SportsBox16\n\nCOPYRIGHTS ⓒ 2017 썩코치의 야구쑈 ALL RIGHTS RESERVED.\n\nKevin MacLeod의 Carefree은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.\n출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1400037\n아티스트: http://incompetech.com/"
LIbLZ_ZUebs,17.14.11,나루토 레거시: 보루토 특별 영상 풀버전(한글자막) - 로드 투 보루토,캡틴라미,1,2017-11-12T05:02:41.000Z,"리뷰|""영화""|""진격""|""거인""|""유튜브""|""트위치""|""호라이즌""|""제로""|""터미네이터""|""몬스터헌터""|""원령공주""|""공략""|""캡틴라미""|""captainramy""|""캡틴""|""라미""|""캡틴아메리카""|""아이언맨""|""마블""|""어벤져스""|""시빌워""|""진격의거인""|""언차티드""|""디비전""|""위쳐""|""배트맨""|""블러드본""|""다크소울""|""젤다의전설""|""오버워치""|""리그오브레전드""|""드래곤볼""|""원피스""|""나루토""|""블리치""|""드래곤퀘스트""|""슈퍼마리오""|""포켓몬""|""포켓몬고""|""리니지""|""메이플""|""서든어택""|""아웃라스트""|""디아블로""|""스타크래프트""|""워크래프트""|""어쌔신크리드""|""철권""|""생존기""|""서바이벌""|""극한생존""|""혹한기""|""생존""|""보루토""|""사스케""|""naruto""|""boruto""|""음악""",280873,1319,54,936,https://i.ytimg.com/vi/LIbLZ_ZUebs/default.jpg,FALSE,FALSE,FALSE,"[1080p 최고화질로 화면을 크게 해서 보세요] \n나루토 레거시 스페셜 보루토 영상입니다. 나선환이 노란색인게 특징!\n*나루토 보루토 좋아하는 분들이라면 '나루토 레거시'게임 구입 추천합니다! '파이널 판타지15'와 '그라비티러쉬2'처럼 유저들을 위한 특별 영상입니다. 전 PS4 이고, 내년 2018 '나루토 시노비 스트라이커'신작도 기대중입니다.(4 VS 4 대전 가능) \n \n'구독과 좋아요' 는 큰 힘이 됩니다\n*엔딩 음악\n 1)City of Angel - Angel\n 2)Nathan East - Daft Funk\n 3)Music Shower - Soul Night\n 4)Senza Fine - Andrea Bocelli\n 5)러브레터 - A Winter Story\n 6)Warren G - I want it all\n\n▶생방 트위치. 카카오TV: 캡틴라미 검색\n▶HD급 고화질1080p시청 하세요\n▶후원하기: https://goo.gl/Z71XAp\n▶감성 건망증: http://www.gmz.co.kr/\n\n★트위치TV: https://goo.gl/SNTYhu\n★카카오TV: https://goo.gl/GSfSBR\n★구독하기: https://goo.gl/pSFlvS\n★카페: http://cafe.naver.com/captainramy\n\n\n▶좋아하는 작품들\n애니: 원피스. 나루토. 보루토. 블리치. 진격의거인. 강철의 연금술사.\n  이누야샤. 건담 더블오. 건담 유니콘. 드래곤볼. 슬램덩크.\n\n영화: 배트맨 다크나이트. 슈퍼맨 리턴즈. 저스티스 리그. 아이언맨.\n  가디언즈 오브 갤럭시. 어벤져스. DC 마블 시리즈. 블라인드 사이드."
_cYPL2kh81g,17.14.11,다문화 고부열전 - 남편만 믿고 기고만장한 며느리 때문에 기죽은 시어머니_#002,EBSDocumentary (EBS 다큐),43,2017-11-13T09:11:50.000Z,"새벽|""쪽파밭""|""사돈과의 만남""|""바다""|""필리핀 전통배""|""물고기""|""수영""",11452,21,7,28,https://i.ytimg.com/vi/_cYPL2kh81g/default.jpg,FALSE,FALSE,FALSE,"공식 홈페이지 : http://home.ebs.co.kr/gobu\n  남편만 믿고 기고만장한 며느리 때문에 기죽은 시어머니,\n\n가족이란 이름으로 한 가정 안에 있는 두 여인, 고부\n고부간의 갈등은 어디에나 있어 왔다. \n하지만 '다문화 가정'의 고부 갈등은 여느 가정과 다른 면이 있다.\n서로 다른 언어, 서로 다른 국적, 서로 다른 문화라는 큰 벽이 존재한다.\n한 가족이라는 테두리 안에서 서로의 존재를 제대로 인정하지 못하고\n갈등하고 있는 여인들, 고부\n\n-한국으로 시집 온 다문화 여성 이야기-\n오직 결혼만을 위해 낯선 한국 땅을 찾은 그녀들. \n그러나 말도 설고, 음식도 설고, 사람도 설은 한국에서의 삶은 녹녹치 않다.      \n최선을 다한다는 며느리, 하지만 시어머니는 대체 왜 나를 못마땅해 하는 걸까.\n\n-다문화 여성을 며느리로 맞이한 시어머니의 이야기-\n며느리를 맞이했으니 한시름 놨다고 생각했다.\n살림도 맡기고, 손자도 키우고 알콩달콩 잘 지내보려했다.\n그런데. 살림부터 청소. 남편 내조까지. 마음에 드는 구석이 없다.\n며느리가 아무리 다른 나라에서 왔다지만, 이렇게 다를 수가 있을까...\n\n함께 있으면 어색하고 숨 막히는 두 사람,  \n고부가 함께 며느리의 친정 나라로 여행을 떠난다.\n남편도 아이도 없이 오직 두 사람만이 믿고 의지할 동반자로\n서로를 이해하고 갈등의 골을 메워가는 시간.\n시어머니와 며느리의 '역지사지' 힐링 여행이 시작된다!"
T4AEfAT3I_A,17.14.11,2017년 11월 12일 (일) 뉴스룸 다시보기 - 정치보복 의심…MB 공항 발언,JTBC News,25,2017-11-12T14:43:10.000Z,"JTBC|""JTBC NEWS""|""뉴스룸""|""손석희""|""뉴스룸다시보기""|""뉴스룸풀영상""|""주말뉴스룸""|""뉴스룸전체다시보기""",121299,680,91,312,https://i.ytimg.com/vi/T4AEfAT3I_A/default.jpg,FALSE,FALSE,FALSE,"1. 정치보복 의심…MB 공항 발언 2:00\n\n이명박 전 대통령이 오늘(12일) 중동으로 출국하기 전 문재인 정부의 적폐청산 작업과 관련해 처음으로 직접 입장을 밝혔습니다.\n\n[이명박/전 대통령 : 이것이 과연 개혁이냐, 감정 풀이냐, 정치 보복이냐, 이런 의심이 들기 시작했습니다.]\n\n군 사이버사 댓글조작을 보고 받았느냐는  질문엔 상식에 벗어난 질문이라며 불쾌감을 표시했습니다.\n\n2. MB 향한 증거·진술…조사 불가피 8:13\n\n이명박 전 대통령의 이런 입장 표명에도 불구하고 검찰 조사는 피할 수 없어 보입니다. 군 사이버사 운용에 직접 관여했다는 진술과 증거가 나왔기 때문인데, '문화·방송계 블랙리스트' 의혹, 또 실소유주 논란이 일고 있는 '다스'와 관련해서도 피고발인 신분이라 본인 조사가 필요한 상황입니다.\n\n3. 한·중 '고위급 대화체' 신설 가능성 15:02\n\n문재인 대통령과 시진핑 중국 국가주석이 어젯밤 열린 정상회담에서 사드 갈등으로 주춤했던 양국 간 교류협력을 정상하자는 데 공식 합의했습니다. 북핵 문제 해결을 위한 한·중 간 고위급 대화체가 구성될 가능성도 제기됩니다.\n\n4. 한림대 성심병원 '후원금 강요' 논란 20:49\n\n간호사들에게 선정적인 춤을 강요한 의혹이 제기된 성심병원에서, 이번엔 간호사들을 상대로 김진태 자유한국당 의원에게 후원금을 내도록 알선했다는 논란이 불거졌습니다. 선관위는 정치 자금법 위반 소지가 있다고 보고, 최근 병원 관계자를 서면으로 경고 조치했습니다.\n\n5. 불법 체류자 단속 있다 유인한 뒤… 24:37\n\n불법 체류자 신분인 태국인 여성을, 단속을 핑계로 유인해 살해한 혐의로 한국인 남성이 경찰에 붙잡혔습니다. 불법 체류자라는 이유로 폭행과 폭언에 시달리는 등, 인권 사각지대에 놓인 외국인 노동자들의 실태를 취재했습니다.\n\n📢 JTBC유튜브 구독하기 (http://bitly.kr/5p)\n✍ JTBC유튜브 커뮤니티 (http://bitly.kr/B9s)\n\n▶ 공식 홈페이지 http://news.jtbc.co.kr\n▶ 공식 페이스북 https://www.facebook.com/jtbcnews\n▶ 공식 트위터 https://twitter.com/JTBC_news\n\n방송사 : JTBC (http://www.jtbc.co.kr)"
